Site,Year,Species
Site A1,2013,Achillea millefolium var. occidentalis (Achillea lanulosa)
Site A1,2013,Agropyron cristatum+ 
Site A1,2013,Antennaria alpina+
Site A1,2013,Antennaria parvifolia 
Site A1,2013,Antennaria pulcherrima+ 
Site A1,2013,Apiaceae sp. 1 
Site A1,2013,Arctostaphylos uva-ursi*
Site A1,2013,Artemesia frigida
Site A1,2013,Astragalus tenellus+ 
Site A1,2013,Boraginaceae sp. 1
Site A1,2013,Bouteloua gracilis+
Site A1,2013,Bromus tectorum
Site A1,2013,Carex pensylvanica ssp. heliophila 
Site A1,2013,Caryophyllaceae sp. 1
Site A1,2013,Ceanothus fendleri*+ 
Site A1,2013,Cerastium strictum 
Site A1,2013,Critesion brachyantherum+
Site A1,2013,Delphinium nuttallianum 
Site A1,2013,Elymus elymoides (Elymus longifolius)
Site A1,2013,Eriogonum umbellatum 
Site A1,2013,Geranium caespitosum
Site A1,2013,Geum rossii+
Site A1,2013,Hesperostipa comata+
Site A1,2013,Heterotheca villosa
Site A1,2013,Holodiscus dumosus+
Site A1,2013,Jamesia americana* 
Site A1,2013,Juniperus communis* 
Site A1,2013,Linum usitatissimum+
Site A1,2013,Lomatium dissectum var. multifidum+
Site A1,2013,Mertensia lanceolata
Site A1,2013,Pascopyrum smithii+
Site A1,2013,Penstemon sp. 1
Site A1,2013,Poa compressa 
Site A1,2013,Poaceae sp. 1 
Site A1,2013,Potentilla pensylvanica var.
Site A1,2013,paucijuga+
Site A1,2013,Psathrostachys juncea+
Site A1,2013,Pseudocymopterus montanus+
Site A1,2013,Ribes cereum* 
Site A1,2013,Rubus parviflorus+
Site A1,2013,Salvia sp. 1 
Site A1,2013,Solidago missouriensis
Site A1,2013,Stanleya pinnata+
Site A1,2013,Symphyotrichum porter+
Site A1,2013,Tragopogon dubius
Site A1,2013,Verbascum thapsus
Site A1,1996,Achillea lanulosa 
Site A1,1996,Aletes acaulis
Site A1,1996,Allium cernuum 
Site A1,1996,Anisantha tectorum (Bromus tectorum)
Site A1,1996,Antennaria parvifolia 
Site A1,1996,Arctostaphylos uva-ursi* 
Site A1,1996,Artemesia frigida 
Site A1,1996,Artemesia ludoviciana
Site A1,1996,Boechera drummondii
Site A1,1996,Boechera divaricarpa
Site A1,1996,Campanula rotundifolia 
Site A1,1996,Carex pensylvanica ssp. heliophila
Site A1,1996,Cerastium strictum 
Site A1,1996,Chenopodium fremontii 
Site A1,1996,Collinsia parviflora 
Site A1,1996,Delphinium nuttallianum 
Site A1,1996,Drymocallis fissa 
Site A1,1996,Elymus canadensis
Site A1,1996,Elymus longifolius 
Site A1,1996,Eriogonum umbellatum 
Site A1,1996,Gaillardia aristata 
Site A1,1996,Gayophytum sp. 
Site A1,1996,Geranium caespitosum 
Site A1,1996,Harbouria trachypyleura 
Site A1,1996,Heterotheca villosa 
Site A1,1996,Jamesia americana* 
Site A1,1996,Juniperus communis* 
Site A1,1996,Leucopoa kingii
Site A1,1996,Liatris punctata 
Site A1,1996,Mertensia lanceolata 
Site A1,1996,Muhlenbergia montana
Site A1,1996,Penstemon virens
Site A1,1996,Phacelia heterophylla
Site A1,1996,Poa compressa
Site A1,1996,Ribes cereum*
Site A1,1996,Scutellaria brittonii
Site A1,1996,Senecio integerrimus
Site A1,1996,Solidago missouriensis
Site A1,1996,Tithymalus brachyceras
Site A1,1996,Tragopogon dubius
Site A1,1996,Verbascum thapsus
Site A1,1981,Achillea lanulosa
Site A1,1981,Amelanchier alnifolia*
Site A1,1981,Anisantha tectorum (Bromus tectorum)
Site A1,1981,Antennaria parvifolia
Site A1,1981,Arctostaphylos uva-ursi*
Site A1,1981,Artemesia ludoviciana
Site A1,1981,Aster porter
Site A1,1981,Campanula rotundifolia
